sec,eeg,action
378,46,
379,59,
380,76,kill goomba
381,0,
382,54,
383,79,
384,78,
385,56,
386,53,jump
387,9,
388,12,
389,24,
390,37,
391,83,
392,33,
393,24,
394,42,
395,87,
396,46,
397,10,
398,33,
399,90,
400,78,
401,74,
402,86,
403,8,
404,14,
405,27,
406,40,jump
407,39,
408,47,
409,32,
410,76,
411,11,kill goomba
412,28,
413,50,
414,14,hit koopa
415,94,
416,15,
417,14,hit koopa
418,98,
419,92,
420,53,
421,97,kill goomba
422,42,
423,31,
424,67,
425,95,
426,52,
427,94,
428,45,
429,92,
430,17,
431,92,
432,72,
433,7,
434,40,
435,14,
436,38,
437,99,
438,54,
439,95,
440,30,
441,5,
442,28,
443,27,
444,20,
445,6,
446,22,
447,75,
448,47,
449,49,
450,73,
451,63,
452,72,
453,92,
454,48,
455,29,
456,35,
457,63,
458,64,
459,69,
460,4,
461,82,
462,11,
463,86,
464,14,
465,88,
466,91,
467,67,
468,24,
469,63,
470,4,jump
471,35,
472,71,
473,62,
474,52,
475,0,
476,44,
477,71,
478,65,
479,60,
480,74,
481,9,
482,39,
483,68,
484,37,
485,66,
486,72,
487,85,
488,4,
489,61,
490,82,
491,57,
492,60,
493,68,
494,88,
495,6,
496,30,
497,46,
498,61,
499,42,
500,39,
501,1,
502,92,
503,31,jump
504,50,
505,44,
506,10,
507,82,
508,45,
509,17,jump
510,8,
511,84,
512,89,
513,25,
514,38,
515,28,jump
516,89,
517,85,
518,11,
519,96,
520,98,jump
521,96,
522,71,
523,82,
524,57,
525,47,
526,7,jump
527,88,
528,75,
529,1,
530,21,jump
531,1,
532,68,
533,36,
534,72,
535,69,
536,49,jump
537,59,
538,31,
539,56,
540,84,
541,55,
542,58,
543,64,jump
544,3,
545,31,
546,55,
547,65,
548,15,
