sec,eeg,action
192,34,
193,48,
194,16,
195,44,
196,31,
197,2,
198,85,
199,83,
200,17,
201,7,
202,23,
203,60,
204,36,
205,80,
206,48,
207,1,
208,26,
209,66,
210,46,
211,71,
212,8,
213,47,
214,22,
215,44,
216,35,
217,68,
218,37,
219,86,
220,24,
221,34,
222,38,
223,7,
224,75,
225,92,
226,11,
227,35,
228,69,
229,85,
230,9,
231,69,
232,48,
233,25,
234,13,
235,92,
236,98,
237,42,
238,20,jump
239,6,
240,40,
241,91,
242,64,
243,3,
244,44,
245,76,
246,33,
247,68,
248,63,
249,94,
250,56,
251,26,
252,52,
253,72,
254,7,
255,39,
256,19,
257,29,
258,92,
259,10,
260,54,jump
261,31,
262,90,
263,25,
264,47,
265,36,
266,46,
267,20,right
268,32,
269,38,
270,94,
271,23,
272,49,
273,53,
274,46,
275,94,
276,70,
277,19,
278,15,
279,99,right
280,13,
281,98,
282,83,
283,84,jump
284,92,
285,64,
286,56,
287,89,
288,4,
289,29,
290,47,
291,70,
292,54,
293,73,jump
294,25,
295,44,
296,51,
297,30,
298,8,
299,10,
300,0,
301,13,jump
302,63,
303,17,
304,9,
305,29,
306,98,
307,70,
308,31,
309,46,
310,73,
311,33,jump
312,14,
313,48,right
314,65,
315,14,
316,37,
317,45,
318,99,
319,22,
320,23,
321,93,
322,53,
323,2,
324,82,
325,45,
326,50,
327,86,
328,60,
329,40,
330,19,jump
331,0,
332,18,
333,39,
334,48,
335,53,
336,82,jump
337,11,
338,89,
339,53,
340,60,
341,87,
342,23,right
343,10,
344,17,
345,92,jump
346,0,
347,20,
348,6,
349,71,
350,40,
351,78,
352,19,
353,61,
354,96,right
355,3,
356,32,
357,68,
358,46,
359,4,
360,22,
361,35,jump
362,74,
363,64,right
364,81,
365,57,
366,6,
367,30,
368,64,
369,91,
370,33,
371,70,
372,70,
373,12,
374,87,
375,26,
376,93,
377,21,jump
378,7,
379,16,
380,63,
381,98,
382,21,
383,30,
384,64,
385,14,
386,73,
387,79,
388,10,
389,39,
390,75,
391,71,
392,45,
393,94,
394,76,
395,66,
396,5,
397,54,
398,61,
399,45,
400,84,
401,63,
402,85,
403,21,
404,58,
405,91,
406,80,
407,53,
408,53,
409,33,
410,32,
411,9,
412,0,
413,46,
414,23,
415,6,
416,44,
417,97,
418,84,
419,21,
420,38,
421,20,
422,2,
423,81,
424,41,
425,56,
426,41,
427,43,
428,58,
429,87,
430,81,
431,99,
432,88,
433,13,
434,59,
435,96,
436,50,
437,51,
438,82,
439,81,
440,17,
441,4,
442,39,
443,91,
444,87,
445,0,
446,83,
447,55,
448,69,
449,78,
450,86,
451,52,
452,96,
453,56,
454,57,
455,17,
456,2,
457,49,
458,21,
459,57,
460,41,
461,76,
462,25,
463,13,
464,62,
465,61,
466,49,
467,31,
468,51,
469,61,
470,93,
471,55,
472,75,
473,4,
474,34,
475,88,
476,24,
477,98,
478,93,
479,0,
480,61,
481,47,
482,75,
483,60,
484,63,
485,23,
486,39,
487,65,
488,54,
489,27,
490,11,
491,82,
492,68,left
493,58,
494,44,
495,85,
496,74,
497,12,
498,17,
499,18,
500,97,jump
501,22,
502,5,
503,88,
504,87,
505,16,
506,39,hit koopa
507,78,
508,28,
509,64,
510,20,hit koopa
511,85,
512,91,
513,25,
514,89,
515,60,
516,99,right
517,48,
518,57,
519,62,
520,88,
521,41,
522,98,
523,51,
524,67,
525,73,
526,15,
527,78,
528,29,
529,38,
530,31,
531,65,
532,39,
533,51,
534,92,
535,99,
536,31,
537,39,
538,42,
539,0,
540,84,jump
541,61,
542,90,
543,15,
544,97,
545,55,
546,1,
547,24,
548,95,
549,48,
550,9,
551,18,
552,51,
553,31,
554,14,
555,16,
556,23,
557,46,
558,59,jump
559,27,
560,52,
